round,global_acc,client_1_acc,client_2_acc,client_3_acc,client_4_acc,client_5_acc,client_6_acc,client_7_acc,client_8_acc,client_9_acc,client_10_acc,client_11_acc,client_12_acc,rejected_clients
1,0.297,0.1292,0.1369,0.2282,0.2541,0.1618,0.2323,0.2204,0.2222,0.1614,0.2103,0.1922,0.148,
2,0.297,0.1792,0.1369,0.2282,0.2541,0.2448,0.2008,0.2245,0.2222,0.2244,0.2103,0.2275,0.204,
3,0.297,0.2125,0.2365,0.2282,0.2541,0.2324,0.2008,0.2245,0.246,0.2008,0.2103,0.2471,0.204,
4,0.2871,0.3083,0.2365,0.2282,0.2541,0.2324,0.2244,0.2245,0.2738,0.2008,0.2103,0.2392,0.204,
5,0.3069,0.2708,0.2365,0.2282,0.2541,0.2324,0.2362,0.2245,0.2659,0.2008,0.2103,0.2157,0.204,
6,0.3366,0.2958,0.2365,0.2282,0.2541,0.2324,0.2087,0.2245,0.2738,0.2008,0.2103,0.2157,0.204,
7,0.3663,0.3083,0.2448,0.2324,0.2541,0.2324,0.2717,0.2245,0.2817,0.2008,0.2103,0.2196,0.204,
8,0.3663,0.325,0.2365,0.2282,0.2541,0.2324,0.2795,0.2245,0.2778,0.2008,0.2103,0.2157,0.208,
9,0.3762,0.3208,0.2739,0.249,0.2541,0.2282,0.248,0.2245,0.2897,0.2008,0.2103,0.2196,0.256,
10,0.3861,0.3333,0.249,0.2614,0.2541,0.2324,0.2756,0.2245,0.2857,0.2047,0.2143,0.2157,0.236,
